chain length,ratio,throughput
2,0.2,189.85
3,0.35,102.0
3,0.4,91.85416666666667
10,0.3,89.51666666666667
3,0.15,182.51666666666668
2,0.35,126.5
10,0.4,61.1
2,0.25,161.61666666666667
10,0.0,441.43333333333334
3,0.4,89.16666666666667
3,0.2,5.016666666666667
2,0.4,123.08333333333333
10,0.2,107.83333333333333
3,0.1,232.3
3,0.4,112.16666666666667
3,0.4,0.0
3,0.0,487.35
3,0.5,67.38333333333334
3,0.45,80.93333333333334
2,0.15,227.31666666666666
2,0.1,277.71666666666664
3,0.4,74.85833333333333
3,0.4,120.5
3,0.4,74.79166666666667
10,0.25,92.11666666666666
2,0.5,0.0
10,0.15,153.95
10,0.1,197.15
2,0.0,21.95
3,0.25,128.53333333333333
10,0.45,15.8
3,0.3,111.11666666666666
2,0.05,337.96666666666664
2,0.45,105.68333333333334
3,0.4,83.59722222222223
3,0.4,69.73148148148148
2,0.3,140.61666666666667
10,0.05,271.5
10,0.5,53.95
3,0.05,316.71666666666664
10,0.35,69.16666666666667
3,0.4,101.55555555555556
